id_plot,code,loc,ws,wb27,wb2,wr,h_mean,h_min,h_max,dbh_mean,wr_lid,w2_lid,w27_lid,ws_lid,wt_lid
82,CANAR_LOW,CAN,62.58,11.12,11.06,39.25,5.33,1.5,11.4,9.2,45.73289489746094,8.972095489501953,3.34030818939209,65.534088134765625,126.15142822265625
83,CANAR_HIGH,CAN,118.73,23.49,23.53,68.05,4.1,1.1,13.6,7.08,NA,NA,NA,NA,NA
32,B01,CAN,140.49,19.38,7.06,60.25,10.1,4.3,14.5,35.89,49.73289489746094,23.972095489501953,5.84030818939209,114.78408813476562,190.40142822265625
33,B02,CAN,102.34,13.1,7.72,54.61,8.1,4.8,12.3,23.32,43.73289489746094,14.722095489501953,13.34030818939209,109.53408813476562,188.65142822265625
34,B03,CAN,63.7,9.25,6.09,32.38,9.02,4.5,13.7,20.85,46.98289489746094,20.972095489501953,8.34030818939209,105.28408813476562,175.40142822265625
36,B05,CAN,106.62,17.78,11.51,53.78,9.61,5.8,12.5,16.61,55.98289489746094,24.722095489501953,6.84030818939209,142.53408813476562,238.40142822265625
37,B06,CAN,75.43,10.73,4.42,33.66,9.5,4.9,13,24.05,51.48289489746094,21.722095489501953,6.09030818939209,121.78408813476562,206.40142822265625
39,B08,CAN,113.36,14.28,7.96,58.91,7.93,4.6,12.3,27.15,66.23289489746094,17.972095489501953,16.090309143066406,127.78408813476562,214.40142822265625
40,B09,CAN,158.33,22.89,8,65.31,9.59,4.8,16.8,26.27,81.48289489746094,16.472095489501953,17.340309143066406,130.03408813476562,227.90142822265625
41,B10,CAN,86.31,12.55,6.14,39.05,9.9,5.5,14.8,24.44,69.73289489746094,19.222095489501953,4.84030818939209,124.28408813476562,222.90142822265625
42,B11,CAN,198.77,28.79,3.69,69.05,7.33,3,15.9,46.63,84.98289489746094,31.222095489501953,8.84030818939209,167.78408813476562,287.90142822265625
43,B12,CAN,144.25,20.81,7.55,60,8.96,4.1,15.3,24.77,NA,NA,NA,NA,NA
44,B13,CAN,477.91,70.53,13.22,165.88,11.6,4.3,20.4,47.79,99.48289489746094,38.22209548950195,14.59030818939209,244.78408813476562,409.15142822265625
46,B15,CAN,167.66,26.1,6.17,57.98,8.71,4.3,17.4,19.75,102.73289489746094,25.972095489501953,17.090309143066406,205.03408813476562,361.90142822265625
47,B16,CAN,312.85,45.42,10.61,114.84,13.28,6,17.8,52.96,95.23289489746094,21.222095489501953,10.09030818939209,181.53408813476562,316.15142822265625
48,B17,CAN,205.84,30.5,9.96,81.09,9.16,3.7,16,23.89,93.73289489746094,36.22209548950195,11.34030818939209,218.78408813476562,369.15142822265625
49,B18,CAN,303.12,44.37,10.03,109.44,14.96,13.1,17.3,57.52,94.23289489746094,28.472095489501953,20.840309143066406,228.03408813476562,385.65142822265625
50,B19,CAN,219.66,32.15,8.49,81.97,9.43,4.8,19.5,31.67,NA,NA,NA,NA,NA
51,B20,CAN,197.29,26.61,7.81,83.77,11.47,3.4,14.1,51.2,87.98289489746094,22.972095489501953,11.09030818939209,139.53408813476562,257.15142822265625
52,B21,CAN,195.27,27.99,10.77,81.84,10.98,3.8,15.3,32.37,77.23289489746094,29.222095489501953,3.59030818939209,165.03408813476562,285.65142822265625
53,B22,CAN,248.69,35.45,13.43,104.29,12.29,5.9,17.1,37.41,68.73289489746094,15.472095489501953,12.84030818939209,125.03408813476562,223.65142822265625
54,B23,CAN,242.02,33.82,10.36,98.55,12.02,7.2,16,46.23,74.23289489746094,29.722095489501953,10.59030818939209,220.28408813476562,364.90142822265625
55,B24,CAN,233.26,35.47,10.85,86.01,12.66,8,17.9,33.38,NA,NA,NA,NA,NA
56,B25,CAN,93.51,14.37,7.29,42.39,9.13,5.2,14.6,18.68,72.48289489746094,19.722095489501953,2.09030818939209,160.03408813476562,276.90142822265625
58,B27,CAN,58.04,7.65,4.52,29.4,10.12,7.6,12.7,31.38,46.73289489746094,23.972095489501953,10.34030818939209,121.78408813476562,201.15142822265625
61,B30,CAN,98.8,15.27,9.48,48.39,9.86,4.4,13.9,19.96,52.73289489746094,25.972095489501953,8.59030818939209,162.53408813476562,251.90142822265625
62,A01,GEN,59.46,8.04,5.13,31.78,10.39,4.2,14.2,27.59,50.23289489746094,14.722095489501953,9.34030818939209,87.534088134765625,144.90142822265625
63,A02,GEN,24.46,3.72,2.54,12.82,9.9,7.9,12.7,19.71,40.23289489746094,13.472095489501953,7.84030818939209,85.534088134765625,139.40142822265625
64,A03,GEN,44.11,7.03,2.96,17.69,13.48,12.2,14.8,27.37,43.48289489746094,4.472095489501953,9.34030818939209,61.784088134765625,118.40142822265625
66,A05,GEN,18.99,2.81,1.8,9.39,8.88,4.1,12.8,20.13,33.73289489746094,5.722095489501953,10.34030818939209,39.784088134765625,74.40142822265625
67,A06,GEN,67.11,11.32,4.9,26.45,13.48,8.1,16.7,23.81,35.48289489746094,8.222095489501953,7.09030818939209,80.784088134765625,134.15142822265625
68,A07,GEN,51.35,8.43,4.22,21.99,12.01,7.1,16.5,22.35,40.48289489746094,16.972095489501953,8.84030818939209,94.034088134765625,155.15142822265625
69,A08,GEN,39.93,5.68,3.68,20.12,10.85,9.6,13.6,26.82,19.732894897460938,9.472095489501953,6.09030818939209,50.284088134765625,79.15142822265625
70,A09,GEN,23.29,3.46,2.53,12.04,10,7.3,13.6,22.63,31.482894897460938,4.972095489501953,9.09030818939209,33.784088134765625,63.40142822265625
73,A12,GEN,40.12,5.38,5.07,23.91,8.52,5.8,12.9,21.96,29.232894897460938,9.222095489501953,6.34030818939209,49.284088134765625,95.40142822265625
74,A13,GEN,23.47,3.51,3.98,16.39,7.46,5.7,9.6,14.41,19.732894897460938,8.972095489501953,6.84030818939209,21.784088134765625,41.90142822265625
75,A14,GEN,45.86,6.5,6.08,27.08,8.9,5.7,11.9,20.76,24.732894897460938,6.972095489501953,3.59030818939209,45.784088134765625,85.15142822265625
76,A15,GEN,99.37,14.73,9.19,47.3,8.79,3.2,14.4,21.27,68.73289489746094,20.222095489501953,12.59030818939209,129.53408813476562,210.40142822265625
77,A16,GEN,89.04,14.04,6.97,38.69,12.29,7.7,15.5,24.84,42.48289489746094,13.972095489501953,7.59030818939209,77.034088134765625,131.90142822265625
78,A17,GEN,73.08,11.99,6.1,31.91,10.64,6.5,15.4,19.49,59.23289489746094,18.472095489501953,11.34030818939209,124.28408813476562,198.15142822265625
81,A20,GEN,129.95,22.87,8.56,47.67,14.67,11.8,17.8,23.03,56.23289489746094,24.472095489501953,13.84030818939209,126.78408813476562,207.15142822265625
1,P028,CAN,59.66,5.96,11.33,47.26,4.51,0.33,12,15.76,55.73289489746094,12.722095489501953,7.09030818939209,90.034088134765625,157.65142822265625
2,P031,CAN,44.61,4.59,12.83,42.57,3.58,1.25,10,10.52,42.73289489746094,13.722095489501953,9.34030818939209,68.284088134765625,131.15142822265625
3,A029,GEN,145.19,18.46,13.58,79.42,5.52,0.23,13,16.9,40.48289489746094,24.722095489501953,9.09030818939209,136.03408813476562,228.65142822265625
4,A026,GEN,153.36,18.72,11.34,81.84,8.54,1.2,12,33.38,58.98289489746094,34.22209548950195,12.84030818939209,186.03408813476562,306.65142822265625
5,P037,CAN,120.76,17.61,7.92,51.12,4.17,0.12,16,11.87,59.98289489746094,22.472095489501953,5.09030818939209,132.28408813476562,232.90142822265625
6,P007,CAN,103.9,13.59,12.15,59.51,3.1,0.11,11,9.06,67.73289489746094,9.972095489501953,5.84030818939209,87.034088134765625,179.65142822265625
7,P027,CAN,251.29,34.03,15.05,113.17,1.97,0.08,18,7.34,77.48289489746094,30.972095489501953,18.590309143066406,179.78408813476562,303.90142822265625
8,P024,CAN,71.3,10.33,6.7,34.1,3.01,0.12,15,8.08,65.98289489746094,31.472095489501953,12.34030818939209,152.03408813476562,253.65142822265625
9,P034,CAN,310.26,45.29,15.38,121.35,2.84,0.06,17,9.08,76.98289489746094,34.22209548950195,20.340309143066406,216.03408813476562,356.40142822265625
10,P038,CAN,109.96,15.1,7.5,49.56,1.23,0.1,14,4.4,65.48289489746094,17.972095489501953,10.84030818939209,119.78408813476562,209.65142822265625
11,P033,CAN,77.81,10.97,9.86,42.74,4.73,0.57,13,12.64,64.73289489746094,25.972095489501953,13.84030818939209,171.53408813476562,289.40142822265625
12,P030,CAN,142.98,18.4,13.66,78.7,7.88,1.23,12,23.74,64.98289489746094,18.972095489501953,10.09030818939209,119.78408813476562,206.90142822265625
13,P035,CAN,143.57,19.56,10.7,69.77,9.89,4,14,28.73,46.23289489746094,13.222095489501953,1.5903081893920898,88.784088134765625,153.40142822265625
14,P023,CAN,77.36,11.69,14.58,50.13,3.23,0.07,11,7.4,61.73289489746094,21.972095489501953,14.34030818939209,132.03408813476562,240.65142822265625
15,P026,CAN,79.75,14.25,16.07,50.88,4.39,0.13,14,8.14,74.23289489746094,12.972095489501953,20.090309143066406,106.28408813476562,191.65142822265625
17,P022,CAN,288.3,42.48,10.77,106.06,7.25,0.28,18,23.57,63.98289489746094,24.722095489501953,12.59030818939209,167.03408813476562,271.65142822265625
18,A024,GEN,91.56,9.43,13.88,67.38,5.23,0.9,9.5,18.05,50.73289489746094,16.222095489501953,12.09030818939209,101.78408813476562,179.40142822265625
19,A028,GEN,139.51,18.18,15.7,80.17,7,0.5,13,19.86,31.982894897460938,26.972095489501953,10.09030818939209,143.78408813476562,223.40142822265625
20,A027,GEN,149.2,18.68,19.36,92.92,5.39,0.3,11,15.61,33.48289489746094,11.972095489501953,9.84030818939209,104.78408813476562,179.15142822265625
21,A040,GEN,71.42,9.62,12.18,46.87,2.82,0.08,12,7.38,42.98289489746094,18.972095489501953,6.09030818939209,118.53408813476562,202.15142822265625
22,A041,GEN,222.04,36.51,20.36,97.45,5.57,0.4,17,10.76,35.48289489746094,6.722095489501953,4.34030818939209,75.534088134765625,139.65142822265625
23,A036,GEN,264.5,41.77,18.11,105.54,6.55,0.2,17,14.24,45.73289489746094,26.722095489501953,7.34030818939209,150.78408813476562,257.90142822265625
24,A037,GEN,111.98,17.31,9.94,50.79,4.51,0.24,17,9.96,35.23289489746094,20.722095489501953,14.84030818939209,102.53408813476562,184.90142822265625
25,A038,GEN,54.43,7.73,9.24,34.8,2.89,0.3,10,7.04,58.73289489746094,12.722095489501953,5.84030818939209,115.78408813476562,192.65142822265625
26,A039,GEN,37.68,4.42,9.34,31.23,3.18,0.2,9.5,9.19,62.98289489746094,21.722095489501953,17.090309143066406,129.78408813476562,216.40142822265625
27,A035,GEN,127.5,19.75,12.02,59.52,4.81,0.5,17,10.41,76.73289489746094,18.722095489501953,6.84030818939209,154.03408813476562,269.15142822265625
28,A034,GEN,73.84,12.47,10,37.91,4.93,0.6,15,9.55,53.98289489746094,12.722095489501953,12.84030818939209,100.78408813476562,170.40142822265625
29,A033,GEN,77.26,13.94,11.44,40.09,4.18,0.8,15,7.46,31.982894897460938,13.972095489501953,6.59030818939209,73.784088134765625,129.65142822265625
30,A032,GEN,126.71,22.53,12.58,54.84,5.86,1,16,9.79,52.48289489746094,20.222095489501953,11.34030818939209,121.53408813476562,188.65142822265625
31,A031,GEN,42.44,7.47,4.5,18.45,5.04,0.3,16,9.04,54.98289489746094,21.972095489501953,8.09030818939209,115.28408813476562,206.15142822265625
108,DUR1,DUR,118.6,17.68,6.4,46.57,13.48,8.4,17.8,36.92,73.48289489746094,22.472095489501953,9.59030818939209,172.78408813476562,293.90142822265625
109,DUR2,DUR,219.6,35.22,17.99,93.88,9.81,2.2,16.1,19.86,67.73289489746094,24.722095489501953,12.09030818939209,177.03408813476562,304.40142822265625
110,DUR3,DUR,186.57,30.72,12.99,71.88,11.5,3.1,16.8,22.43,79.98289489746094,34.22209548950195,11.09030818939209,227.53408813476562,370.90142822265625
111,DUR4,DUR,113.09,17.29,5.68,42.07,12.92,4.01,15.3,33.22,NA,NA,NA,NA,NA
112,DUR5,DUR,125.55,21.72,12.22,55.1,10.31,2.1,16.9,17.93,64.98289489746094,19.472095489501953,7.34030818939209,145.28408813476562,259.90142822265625
114,DIL2,DIL,118.23,18.95,7.72,45.66,12.45,3.2,15.82,26.06,1,1,1,1,1
115,DIL3,DIL,170.37,28.51,10.22,61.39,14.39,4.8,16.35,26.43,44.48289489746094,23.722095489501953,8.84030818939209,151.78408813476562,248.90142822265625
116,DIL4,DIL,274.13,44.7,11.62,88.93,14.81,8.18,19.1,30.86,96.23289489746094,33.97209548950195,11.59030818939209,211.28408813476562,347.90142822265625
117,DIL5,DIL,237.33,38.3,9.31,74.88,15.82,8.95,20.2,37.14,80.48289489746094,32.72209548950195,-9999,181.78408813476562,304.90142822265625
113,DIL1,DIL,358.23,55.8,17.5,128.65,14.1,3.5,18.9,34.54,85.23289489746094,30.972095489501953,16.090309143066406,196.03408813476562,333.15142822265625
87,CAM1,CAM,125.39,18.73,3.91,43.12,15.82,14.5,17.8,59.17,54.73289489746094,27.972095489501953,16.590309143066406,130.78408813476562,228.40142822265625
89,CAM3,CAM,305.03,47.11,13.44,107.6,14.85,9,18.8,38.7,82.98289489746094,34.47209548950195,19.090309143066406,207.78408813476562,342.40142822265625
90,CAM4,CAM,142.15,20.49,6.93,56.87,12.83,10.2,16.5,41.01,73.48289489746094,20.472095489501953,12.34030818939209,168.03408813476562,292.15142822265625
91,CAM5,CAM,201.36,34.81,13.88,75.7,12.94,5.7,19,21.59,79.73289489746094,39.22209548950195,12.34030818939209,241.78408813476562,384.15142822265625
88,CAM2,CAM,140.48,22.94,5.6,44.32,17.03,12.2,20.6,36.32,46.23289489746094,12.222095489501953,10.59030818939209,120.78408813476562,202.15142822265625
119,POR2,TRE,63.14,9.85,4.66,27.31,12.2,10.1,13.6,24.91,42.98289489746094,17.472095489501953,7.84030818939209,102.53408813476562,185.90142822265625
125,PAM4,POQ,97.22,17.82,9.92,41.67,9.77,3.5,15.8,15.65,NA,NA,NA,NA,NA
121,POR4,TRE,51.99,8.19,7.02,28.86,8.08,2.05,12.2,16.44,36.98289489746094,11.972095489501953,7.59030818939209,73.784088134765625,123.15142822265625
120,POR3,TRE,68.44,11.72,8.51,32.79,7.07,1.8,16.6,13.55,56.98289489746094,22.222095489501953,7.59030818939209,143.28408813476562,242.90142822265625
118,POR1,TRE,36.37,5.78,6.51,23.62,7.63,2.9,10.5,15.31,67.23289489746094,14.722095489501953,11.09030818939209,104.53408813476562,175.40142822265625
122,PAM1,POQ,109.68,15.17,7.68,50.25,7.31,1.9,15.4,23.42,78.48289489746094,26.972095489501953,9.09030818939209,145.03408813476562,257.65142822265625
124,PAM3,POQ,173.92,27.68,12.53,70.67,10.09,1.7,16.1,21.14,73.73289489746094,21.972095489501953,10.09030818939209,153.03408813476562,264.65142822265625
123,PAM2,POQ,118.19,17.56,12.15,59.69,9.61,3.9,12.9,21.97,51.23289489746094,20.222095489501953,1.8403081893920898,115.28408813476562,190.40142822265625
86,C-3,MON,127.25,21.21,13.25,59.97,10.22,4.66,16.4,18.79,92.23289489746094,41.72209548950195,14.84030818939209,221.03408813476562,366.65142822265625
84,A-3,MON,129.72,21.06,15.01,65.45,9.48,4.66,15.6,18.35,80.73289489746094,31.472095489501953,13.84030818939209,197.78408813476562,325.40142822265625
85,B-3,MON,84.33,11.77,10.88,50.27,8.77,4.66,11.61,20.5,68.23289489746094,19.722095489501953,5.84030818939209,117.53408813476562,207.90142822265625
107,CAN_CON_26,CAN,29.18,5.59,6.39,19.01,6.34,4.39,14.03,11.12,31.982894897460938,14.222095489501953,9.84030818939209,74.784088134765625,135.15142822265625
92,CAN_RES_24,CAN,65.98,10.25,6.48,31.94,8.51,4.93,13.7,17.65,47.98289489746094,24.222095489501953,8.84030818939209,150.53408813476562,253.15142822265625
93,CAN_RES_23,CAN,3.3,0.79,1.42,3.15,5.63,4.39,6.97,9.76,25.732894897460938,12.472095489501953,0,39.784088134765625,83.65142822265625
94,CAN_CON_22,CAN,45.2,6.9,5.08,23.46,7.62,4.53,13.1,16.27,43.73289489746094,12.472095489501953,6.34030818939209,71.284088134765625,120.90142822265625
99,CAN_RES_38,CAN,8.5,1.66,2.84,7.31,5.8,3.6,10.04,10.86,29.982894897460938,4.222095489501953,4.84030818939209,21.284088134765625,45.65142822265625
100,CAN_RES_21,CAN,11.27,2.21,3.25,8.83,6.54,4.66,10.21,11.78,49.73289489746094,8.722095489501953,8.59030818939209,50.534088134765625,101.65142822265625
101,CAN_RES_31,CAN,36.69,5.96,5.54,21.1,7.56,4.5,12.43,14.93,60.98289489746094,24.222095489501953,9.59030818939209,142.03408813476562,252.15142822265625
102,CAN_RES_25,CAN,22.25,3.84,5.41,16.79,6.6,4.53,11.19,12.53,55.23289489746094,11.222095489501953,11.84030818939209,67.534088134765625,139.65142822265625
103,CAN_RES_27,CAN,37.39,6.02,5.83,22.27,8.18,4.99,11.86,16.13,46.98289489746094,14.472095489501953,11.59030818939209,103.28408813476562,184.40142822265625
104,CAN_RES_28,CAN,18.61,3.91,5.74,14.81,6.41,4.46,9.25,11.1,43.98289489746094,3.722095489501953,13.09030818939209,55.534088134765625,109.15142822265625
105,CAN_RES_30,CAN,32.25,5.47,6.25,20.88,7.19,4.53,11.21,13.81,44.48289489746094,6.722095489501953,9.59030818939209,79.284088134765625,153.90142822265625
106,CAN_RES_29,CAN,19.14,3.5,4.43,13.27,6.65,4.2,11.23,12.24,48.48289489746094,6.722095489501953,4.59030818939209,71.534088134765625,134.15142822265625
95,CAN_RES_37,CAN,10.95,2.05,2.71,7.68,6.02,3.6,11.13,11.2,37.23289489746094,3.972095489501953,4.59030818939209,17.284088134765625,55.15142822265625
96,CAN_RES_35,CAN,55.59,8.64,5.85,27.48,7.17,4.53,13.8,15.06,35.98289489746094,8.972095489501953,10.84030818939209,73.284088134765625,137.15142822265625
97,CAN_CON_34,CAN,44.45,7.06,5.78,24.09,8.35,4.6,13.01,16.77,54.73289489746094,17.472095489501953,7.34030818939209,93.784088134765625,174.15142822265625
98,CAN_CON_33,CAN,33.44,6.31,8.02,23.46,6.56,4.39,11.61,11.78,43.23289489746094,17.722095489501953,5.84030818939209,73.784088134765625,133.40142822265625
