id,sp,height,db,dbh,dis,rumbo_c,rumbo,plot,obs
1,Quercus pyrenaica,17.8,68,62,7.03,212,32,CAM_H1,"árbol 2, parcela fenología"
2,Quercus pyrenaica,16.2,73,67,14.36,250,70,CAM_H1,
3,Quercus pyrenaica,15.4,65,61,10.82,30,210,CAM_H1,
4,Quercus pyrenaica,14.5,54,51,6.54,48,228,CAM_H1,
5,Quercus pyrenaica,15.6,81,66,14.74,110,290,CAM_H1,
6,Quercus pyrenaica,15.4,51,48,6.38,158,338,CAM_H1,
7,Quercus pyrenaica,14.9,38.5,36,8.02,79,259,CAM_H2,
8,Quercus pyrenaica,16.4,23,22.5,15.82,85,265,CAM_H2,
9,Quercus pyrenaica,15.8,28,26.5,16.05,88,268,CAM_H2,
10,Quercus pyrenaica,17.1,31.5,27,17.32,90,270,CAM_H2,
11,Quercus pyrenaica,18.1,30.5,28,18.49,86,266,CAM_H2,
12,Acer opalus granatensis,9.8,31,28.5,19.22,108,288,CAM_H2,
13,Acer opalus granatensis,8.7,24,21,19.6,110,290,CAM_H2,
14,Acer opalus granatensis,8.1,19.5,17.2,19.82,98,278,CAM_H2,
15,Crataegus ,5.1,8.5,7.6,17.75,80,260,CAM_H2,
16,Sorbus aria,8.2,17.2,16.5,12.47,116,296,CAM_H2,
17,Sorbus aria,5.4,12,11.5,13.4,120,300,CAM_H2,
18,Sorbus aria,5.1,11,10.2,14,121,301,CAM_H2,
19,Sorbus aria,7.9,18.5,17,13.5,125,305,CAM_H2,
20,Quercus pyrenaica,17.6,44,37,14.1,130,310,CAM_H2,
21,Sorbus aria,12.7,16.5,15,14.36,134,314,CAM_H2,
22,Quercus pyrenaica,16.5,46.5,45,15.92,142,322,CAM_H2,
23,Quercus pyrenaica,20.6,58.5,50.6,15.05,170,350,CAM_H2,
24,Acer opalus granatensis,9.6,20.5,19,10.49,164,344,CAM_H2,
25,Quercus pyrenaica,18.7,58,49.2,7.48,162,342,CAM_H2,
26,Quercus pyrenaica,17.5,39.1,36.2,4.91,152,332,CAM_H2,
27,Acer opalus granatensis,10.8,25.4,21.2,3.13,120,300,CAM_H2,
28,Quercus pyrenaica,12.2,40.2,36.1,6.04,312,132,CAM_H2,
29,Quercus pyrenaica,13.1,41.2,34.5,10.29,298,118,CAM_H2,
30,Quercus pyrenaica,17.1,37,33.1,11.05,302,122,CAM_H2,
31,Quercus pyrenaica,18.7,36.6,34.2,12.73,304,124,CAM_H2,
32,Quercus pyrenaica,17.3,35.6,34,12.56,300,120,CAM_H2,
33,Quercus pyrenaica,15.4,30.8,29.2,14.87,318,138,CAM_H2,
34,Quercus pyrenaica,17.8,17.5,16.9,13.49,312,132,CAM_H2,
35,Quercus pyrenaica,17.9,42.5,40,14.05,314,134,CAM_H2,
36,Quercus pyrenaica,18.9,49.5,45.5,11.62,316,136,CAM_H2,
37,Quercus pyrenaica,17.8,38.1,36.9,3.25,2,182,CAM_H2,
38,Quercus pyrenaica,18.1,37.2,36.8,2.9,1,181,CAM_H2,
39,Quercus pyrenaica,16.4,44.9,39.8,4.48,,172,CAM_H3,
40,Quercus pyrenaica,11.4,26.8,22.5,5.27,,180,CAM_H3,
41,Quercus pyrenaica,14.2,47.8,29.6,8.39,,204,CAM_H3,base fusionada (ver fotos)
42,Quercus pyrenaica,14.2,47.8,29.4,8.7,,206,CAM_H3,base fusionada (ver fotos)
43,Quercus pyrenaica,14.7,57.3,55.3,2.71,,320,CAM_H3,
44,Crataegus monogyna,6.5,14,9.5,7.2,,42,CAM_H3,
45,Crataegus monogyna,5.8,13,9.1,7.8,,46,CAM_H3,
46,Quercus pyrenaica,18.8,50.2,44.3,4.63,,58,CAM_H3,
47,Quercus pyrenaica,14.2,36.1,32.6,5.22,,64,CAM_H3,
48,Quercus pyrenaica,17.1,46.6,42.8,5.3,,66,CAM_H3,
49,Quercus pyrenaica,14.8,46.1,40.7,5.07,,80,CAM_H3,
50,Quercus pyrenaica,18.8,52.2,41.4,4.61,,92,CAM_H3,
51,Quercus pyrenaica,9,36,31.5,9.64,,121,CAM_H3,
52,Quercus pyrenaica,11.4,39.7,31.3,9.69,,123,CAM_H3,
53,Quercus pyrenaica,14.6,76.6,39,8.81,,130,CAM_H3,base fusionada (ver fotos)
54,Quercus pyrenaica,14.9,76.6,50.5,9.13,,131,CAM_H3,base fusionada (ver fotos)
55,Quercus pyrenaica,18.3,58.6,49.8,7.01,,148,CAM_H3,
56,Quercus pyrenaica,13.3,86.6,49.7,7.6,,258,CAM_H4,base fusionada
57,Quercus pyrenaica,16.5,86.6,48.5,8.5,,258,CAM_H4,base fusionada
58,Quercus pyrenaica,11.5,86.6,35.5,8.12,,258,CAM_H4,base fusionada
59,Quercus pyrenaica,11.2,52.5,45.5,8.71,,284,CAM_H4,
60,Acer opalus granatensis,8.6,28.1,24.5,2.16,,310,CAM_H4,
61,Quercus pyrenaica,16.1,58.9,53.5,3.94,,328,CAM_H4,
62,Sorbus aria,9.2,22.1,19.5,9.89,,60,CAM_H4,
63,Sorbus aria,9.4,24.7,22.1,9.48,,64,CAM_H4,
64,Sorbus aria,10,21.7,17.3,9.69,,64,CAM_H4,
65,Sorbus aria,8.5,16.9,13.5,9.9,,66,CAM_H4,
66,Quercus pyrenaica,11,55.8,27.1,6.99,,140,CAM_H4,base fusionada
67,Quercus pyrenaica,10.2,55.8,27.3,6.67,,140,CAM_H4,base fusionada
68,Crataegus monogyna,2.25,9.3,8.1,6.1,,320,CAM_H4,
69,Crataegus monogyna,3.4,10.1,9.7,7.78,,310,CAM_H4,
70,Crataegus monogyna,3.2,11.1,9.9,8.1,,295,CAM_H4,
71,Quercus pyrenaica,9.7,18.2,16.2,9,,60,CAM_H5,
72,Quercus pyrenaica,13.5,31.2,27.4,9.33,,78,CAM_H5,
73,Quercus pyrenaica,5.7,12.3,10.5,5.46,,80,CAM_H5,
74,Quercus pyrenaica,14.9,34.1,26.2,8.32,,84,CAM_H5,
75,Quercus pyrenaica,15.4,35,28.8,5.88,,86,CAM_H5,
76,Quercus pyrenaica,5.9,14.1,9,6.51,,88,CAM_H5,
77,Quercus pyrenaica,15.6,35.2,28,7.27,,92,CAM_H5,
78,Quercus pyrenaica,15.5,32.4,26.9,8.13,,92,CAM_H5,
79,Quercus pyrenaica,12.9,17.9,13.7,6.99,,112,CAM_H5,
80,Quercus pyrenaica,10.5,21,16.2,8.92,,110,CAM_H5,
81,Quercus pyrenaica,5.8,10.2,9.3,9.45,,120,CAM_H5,
82,Quercus pyrenaica,14.4,24.2,21,7.99,,108,CAM_H5,
83,Quercus pyrenaica,9.2,18.2,14.4,7.04,,110,CAM_H5,
84,Quercus pyrenaica,13.5,30.7,25.3,9.06,,118,CAM_H5,
85,Quercus pyrenaica,10.6,31.8,25.7,4.34,,140,CAM_H5,
86,Quercus pyrenaica,14.7,28.9,23.4,3.71,,142,CAM_H5,
87,Quercus pyrenaica,13.9,23,18.9,2.6,,150,CAM_H5,
88,Quercus pyrenaica,11,22.6,19.3,6.77,,170,CAM_H5,
89,Quercus pyrenaica,12.2,27.6,22.3,9.56,,192,CAM_H5,
90,Quercus pyrenaica,12.6,23.2,17.1,6.43,,190,CAM_H5,
91,Quercus pyrenaica,13.9,26.7,21.7,9.08,,192,CAM_H5,
92,Quercus pyrenaica,7.2,14.2,11.1,9.34,,194,CAM_H5,
93,Quercus pyrenaica,13.5,24.3,19.7,7.42,,218,CAM_H5,
94,Quercus pyrenaica,13.5,28,22.5,6.25,,220,CAM_H5,
95,Quercus pyrenaica,16.8,46.1,22,6.96,,300,CAM_H5,
96,Quercus pyrenaica,15.2,46.1,35.7,6.55,,312,CAM_H5,
97,Quercus pyrenaica,10.6,15.6,12.8,4.42,,318,CAM_H5,
98,Quercus pyrenaica,13.4,31.1,25,5.63,,318,CAM_H5,
99,Quercus pyrenaica,18.8,31.5,27,3.11,,358,CAM_H5,
100,Quercus pyrenaica,17.1,33.5,28.7,5.91,,350,CAM_H5,
101,Quercus pyrenaica,19,29.3,24.1,4.21,,16,CAM_H5,
102,Quercus pyrenaica,17.7,47.9,41,5.08,,18,CAM_H5,